('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         680476 function calls (662099 primitive calls) in 1.716 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      314    0.953    0.003    0.953    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.084    0.084    0.084    0.084 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.082    0.082    0.082    0.082 {method 'connect' of '_socket.socket' objects}
        1    0.032    0.032    0.032    0.032 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
 3213/196    0.029    0.000    0.084    0.000 _parser.py:512(_parse)
     2707    0.028    0.000    0.145    0.000 parser.py:301(parse_starttag)
    24992    0.025    0.000    0.025    0.000 {method 'match' of 're.Pattern' objects}
        2    0.020    0.010    0.239    0.120 parser.py:134(goahead)
      162    0.018    0.000    0.018    0.000 {built-in method marshal.loads}
 3970/188    0.018    0.000    0.043    0.000 _compiler.py:37(_compile)
    71262    0.012    0.000    0.012    0.000 {method 'append' of 'list' objects}
     2591    0.010    0.000    0.016    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
54844/54840    0.010    0.000    0.010    0.000 {built-in method builtins.isinstance}
     5656    0.010    0.000    0.036    0.000 __init__.py:586(endData)
     2707    0.009    0.000    0.061    0.000 __init__.py:722(handle_starttag)
56385/51635    0.009    0.000    0.011    0.000 {built-in method builtins.len}
     8108    0.009    0.000    0.009    0.000 element.py:156(setup)
    23178    0.008    0.000    0.012    0.000 _parser.py:168(__getitem__)
     2708    0.008    0.000    0.029    0.000 element.py:1199(__init__)
  517/513    0.008    0.000    0.113    0.000 {built-in method builtins.__build_class__}
     2560    0.008    0.000    0.048    0.000 parser.py:379(parse_endtag)
      895    0.008    0.000    0.012    0.000 _compiler.py:243(_optimize_charset)
     2707    0.007    0.000    0.072    0.000 _htmlparser.py:105(handle_starttag)
      162    0.007    0.000    0.007    0.000 {built-in method _io.open_code}
 1205/188    0.007    0.000    0.085    0.000 _parser.py:452(_parse_sub)
       42    0.007    0.000    0.007    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    14116    0.007    0.000    0.007    0.000 {method 'group' of 're.Match' objects}
     8121    0.006    0.000    0.006    0.000 {method 'search' of 're.Pattern' objects}
3403/3377    0.006    0.000    0.007    0.000 {built-in method __new__ of type object at 0xa43b40}
 3976/367    0.006    0.000    0.009    0.000 _parser.py:178(getwidth)
    14817    0.006    0.000    0.009    0.000 _parser.py:261(get)
     2706    0.006    0.000    0.011    0.000 __init__.py:688(_popToTag)
     2700    0.005    0.000    0.013    0.000 __init__.py:620(object_was_parsed)
    19287    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
        1    0.005    0.005    0.039    0.039 dammit.py:70(_populate_class_variables)
    10799    0.005    0.000    0.009    0.000 _markupbase.py:44(updatepos)
    22023    0.005    0.000    0.005    0.000 _parser.py:240(__next)
     2708    0.005    0.000    0.036    0.000 _htmlparser.py:160(handle_endtag)
     2708    0.005    0.000    0.006    0.000 __init__.py:572(pushTag)
     7991    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
    14481    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
     2700    0.004    0.000    0.010    0.000 element.py:943(__new__)
    12996    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
      857    0.004    0.000    0.004    0.000 {built-in method posix.stat}
     1938    0.004    0.000    0.005    0.000 __init__.py:91(_replace_charref)
    14851    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
      472    0.003    0.000    0.005    0.000 css_types.py:41(__init__)
     2707    0.003    0.000    0.004    0.000 __init__.py:558(popTag)
     5787    0.003    0.000    0.004    0.000 _parser.py:176(append)
     2706    0.003    0.000    0.031    0.000 __init__.py:763(handle_endtag)
      418    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
    11421    0.003    0.000    0.004    0.000 _parser.py:256(match)
     2707    0.003    0.000    0.011    0.000 parser.py:345(check_for_whole_start_tag)
    10040    0.003    0.000    0.003    0.000 {built-in method builtins.min}
      162    0.003    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      723    0.003    0.000    0.008    0.000 {method 'sub' of 're.Pattern' objects}
      303    0.003    0.000    0.145    0.000 __init__.py:280(_compile)
     2791    0.003    0.000    0.011    0.000 element.py:2303(search)
     9500    0.003    0.000    0.004    0.000 _parser.py:164(__len__)
     1430    0.003    0.000    0.003    0.000 __init__.py:648(_linkage_fixer)
     2174    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
       19    0.003    0.000    0.006    0.000 enum.py:1708(convert_class)
        1    0.003    0.003    0.003    0.003 models.py:909(text)
      9/7    0.002    0.000    0.003    0.000 {built-in method _imp.create_dynamic}
     2237    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      226    0.002    0.000    0.243    0.001 {method 'read' of '_io.BufferedReader' objects}
        2    0.002    0.001    0.014    0.007 element.py:792(_find_all)
5688/5620    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
  807/348    0.002    0.000    0.004    0.000 element.py:2336(_matches)
      802    0.002    0.000    0.002    0.000 _parser.py:372(_escape)
     5498    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     1450    0.002    0.000    0.006    0.000 element.py:2240(search_tag)
     2700    0.002    0.000    0.002    0.000 __init__.py:523(string_container)
       17    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
     2599    0.002    0.000    0.003    0.000 _htmlparser.py:178(handle_data)
     5943    0.002    0.000    0.009    0.000 __init__.py:122(unescape)
      267    0.001    0.000    0.002    0.000 _compiler.py:386(_mk_bitmap)
     5533    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     5728    0.001    0.000    0.002    0.000 {built-in method builtins.hasattr}
     4112    0.001    0.000    0.002    0.000 _parser.py:293(tell)
      325    0.001    0.000    0.006    0.000 css_parser.py:1094(selector_iter)
      215    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     6645    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      162    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        9    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
     2707    0.001    0.000    0.002    0.000 element.py:1371(is_empty_element)
      259    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:304(acquire)
