('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         673989 function calls (655647 primitive calls) in 1.495 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    70878    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
56040/51300    0.005    0.000    0.006    0.000 {built-in method builtins.len}
54709/54705    0.005    0.000    0.006    0.000 {built-in method builtins.isinstance}
    24522    0.012    0.000    0.012    0.000 {method 'match' of 're.Pattern' objects}
    23168    0.005    0.000    0.007    0.000 _parser.py:168(__getitem__)
    22023    0.003    0.000    0.003    0.000 _parser.py:240(__next)
    19099    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
    14817    0.003    0.000    0.005    0.000 _parser.py:261(get)
    14516    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
    14149    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
    13832    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
    12732    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
    11421    0.002    0.000    0.003    0.000 _parser.py:256(match)
    10619    0.003    0.000    0.005    0.000 _markupbase.py:44(updatepos)
    10040    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     9490    0.002    0.000    0.002    0.000 _parser.py:164(__len__)
     8065    0.004    0.000    0.004    0.000 element.py:156(setup)
     7986    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     7902    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     7535    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     6533    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     5787    0.001    0.000    0.002    0.000 _parser.py:176(append)
     5760    0.000    0.000    0.000    0.000 element.py:1586(__bool__)
     5743    0.001    0.000    0.004    0.000 __init__.py:122(unescape)
5628/5560    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     5586    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     5566    0.005    0.000    0.017    0.000 __init__.py:586(endData)
     5451    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     5443    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     4644    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
     4112    0.001    0.000    0.001    0.000 _parser.py:293(tell)
 3976/367    0.003    0.000    0.005    0.000 _parser.py:178(getwidth)
 3970/188    0.010    0.000    0.024    0.000 _compiler.py:37(_compile)
     3818    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     3683    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
3358/3332    0.003    0.000    0.004    0.000 {built-in method __new__ of type object at 0xa43b40}
 3213/196    0.017    0.000    0.049    0.000 _parser.py:512(_parse)
     3126    0.000    0.000    0.003    0.000 {built-in method builtins.next}
     3099    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     2815    0.000    0.000    0.000    0.000 element.py:2062(descendants)
     2792    0.001    0.000    0.005    0.000 element.py:2303(search)
     2770    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     2756    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     2721    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
     2701    0.003    0.000    0.006    0.000 __init__.py:620(object_was_parsed)
     2701    0.002    0.000    0.005    0.000 element.py:943(__new__)
     2701    0.001    0.000    0.001    0.000 __init__.py:523(string_container)
     2663    0.002    0.000    0.003    0.000 __init__.py:572(pushTag)
     2663    0.004    0.000    0.014    0.000 element.py:1199(__init__)
     2663    0.000    0.000    0.000    0.000 __init__.py:205(can_be_empty_element)
     2663    0.002    0.000    0.017    0.000 _htmlparser.py:160(handle_endtag)
     2663    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
     2662    0.002    0.000    0.002    0.000 __init__.py:558(popTag)
     2662    0.005    0.000    0.030    0.000 __init__.py:722(handle_starttag)
     2662    0.002    0.000    0.005    0.000 parser.py:345(check_for_whole_start_tag)
     2662    0.004    0.000    0.035    0.000 _htmlparser.py:105(handle_starttag)
     2662    0.014    0.000    0.072    0.000 parser.py:301(parse_starttag)
